,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
0,"'mktg, inc.'",10-Q,886475,2011-11-04,edgar/data/886475/0001019056-11-001025.txt,2011-11-04
7,1 800 FLOWERS COM INC,10-Q,1084869,2011-11-10,edgar/data/1084869/0001104659-11-063162.txt,2011-11-10
45,11 GOOD ENERGY INC,10-Q,1408597,2011-11-21,edgar/data/1408597/0000930413-11-007517.txt,2011-11-21
105,1ST CONSTITUTION BANCORP,10-Q,1141807,2011-11-14,edgar/data/1141807/0001214659-11-003936.txt,2011-11-14
113,1ST SOURCE CORP,10-Q,34782,2011-10-20,edgar/data/34782/0001104659-11-056969.txt,2011-10-20
118,"1st Century Bancshares, Inc.",10-Q,1420525,2011-11-08,edgar/data/1420525/0001420525-11-000100.txt,2011-11-08
135,1st FRANKLIN FINANCIAL CORP,10-Q,38723,2011-11-14,edgar/data/38723/0001376474-11-000190.txt,2011-11-14
166,1st Financial Services CORP,10-Q,1434743,2011-11-10,edgar/data/1434743/0001354488-11-004208.txt,2011-11-10
175,"1st United Bancorp, Inc.",10-Q,1415277,2011-10-24,edgar/data/1415277/0001171200-11-000932.txt,2011-10-24
194,21ST CENTURY HOLDING CO,10-Q,1069996,2011-11-14,edgar/data/1069996/0001140361-11-053104.txt,2011-11-14
278,"22nd Century Group, Inc.",10-Q,1347858,2011-11-14,edgar/data/1347858/0001144204-11-063724.txt,2011-11-14
296,24HOLDINGS INC,10-Q,1025315,2011-10-21,edgar/data/1025315/0001144204-11-058867.txt,2011-10-21
316,3D SYSTEMS CORP,10-Q,910638,2011-10-27,edgar/data/910638/0000950123-11-092257.txt,2011-10-27
336,3DICON CORP,10-Q,1375195,2011-11-14,edgar/data/1375195/0001144204-11-064183.txt,2011-11-14
342,3M CO,10-Q,66740,2011-11-03,edgar/data/66740/0001104659-11-060552.txt,2011-11-03
352,"3PEA INTERNATIONAL, INC.",10-Q,1496443,2011-11-14,edgar/data/1496443/0001019687-11-003518.txt,2011-11-14
353,3Power Energy Group Inc.,10-Q,1221554,2011-11-21,edgar/data/1221554/0001144204-11-066182.txt,2011-11-21
362,4 KIDS ENTERTAINMENT INC,10-Q,58592,2011-11-14,edgar/data/58592/0000058592-11-000026.txt,2011-11-14
377,4th Grade Films Inc,10-Q,1400683,2011-11-14,edgar/data/1400683/0001105241-11-000014.txt,2011-11-14
382,57th Street General Acquisition Corp,10-Q,1476719,2011-11-14,edgar/data/1476719/0000950123-11-098594.txt,2011-11-14
394,"5Barz International, Inc.",10-Q,1454124,2011-11-14,edgar/data/1454124/0001017386-11-000169.txt,2011-11-14
